"id"	"anno"	"gene"	"A_met"	"A_unmet"	"B_met"	"B_unmet"	"p.value"	"rateA"	"rateB"	"diff"	"padj_fdr"	"log_padj_fdr"	"sig"
"peak_4349"	"MCF7_H3K27ac_peaks"	"CAPN1"	0	4	1	3	1	0	25	25	1	0	FALSE
"peak_4352"	"MCF7_H3K27ac_peaks"	"SYVN1"	1.99	16.01	2	0	0.0315789473684211	11.06	100	88.94	1	0	FALSE
"peak_4352"	"MCF7_H3K27ac_peaks"	"SPDYC"	1.99	16.01	2	0	0.0315789473684211	11.06	100	88.94	1	0	FALSE
"peak_4352"	"MCF7_H3K27ac_peaks"	"AP003068.23"	1.99	16.01	2	0	0.0315789473684211	11.06	100	88.94	1	0	FALSE
"peak_4352"	"MCF7_H3K27ac_peaks"	"CAPN1"	1.99	16.01	2	0	0.0315789473684211	11.06	100	88.94	1	0	FALSE
"peak_4355"	"MCF7_H3K27ac_peaks"	"DPF2"	1.99	5.01	0	2	1	28.43	0	-28.43	1	0	FALSE
"peak_4355"	"MCF7_H3K27ac_peaks"	"TIGD3"	1.99	5.01	0	2	1	28.43	0	-28.43	1	0	FALSE
"peak_4355"	"MCF7_H3K27ac_peaks"	"SLC25A45"	1.99	5.01	0	2	1	28.43	0	-28.43	1	0	FALSE
"peak_4355"	"MCF7_H3K27ac_peaks"	"FRMD8"	1.99	5.01	0	2	1	28.43	0	-28.43	1	0	FALSE
"peak_4357"	"MCF7_H3K27ac_peaks"	"DPF2"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4357"	"MCF7_H3K27ac_peaks"	"TIGD3"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4357"	"MCF7_H3K27ac_peaks"	"SLC25A45"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4357"	"MCF7_H3K27ac_peaks"	"FRMD8"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_43592"	"MCF7_ER_peaks"	"TRMT10C"	1	0	1	0	1	100	100	0	1	0	FALSE
"peak_43592"	"MCF7_ER_peaks"	"PCNP"	1	0	1	0	1	100	100	0	1	0	FALSE
"peak_4362"	"MCF7_H3K27ac_peaks"	"SLC25A45"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4362"	"MCF7_H3K27ac_peaks"	"FRMD8"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4362"	"MCF7_H3K27ac_peaks"	"AP000769.1"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4365"	"MCF7_H3K27ac_peaks"	"SLC25A45"	1	0	0	1	1	100	0	-100	1	0	FALSE
"peak_4365"	"MCF7_H3K27ac_peaks"	"FRMD8"	1	0	0	1	1	100	0	-100	1	0	FALSE
"peak_4365"	"MCF7_H3K27ac_peaks"	"AP000769.1"	1	0	0	1	1	100	0	-100	1	0	FALSE
"peak_4366"	"MCF7_H3K27ac_peaks"	"AP000769.1"	2	0	0	1	0.333333333333333	100	0	-100	1	0	FALSE
"peak_4373"	"MCF7_H3K27ac_peaks"	"AP000769.1"	2	10	0	3	1	16.67	0	-16.67	1	0	FALSE
"peak_4373"	"MCF7_H3K27ac_peaks"	"SCYL1"	2	10	0	3	1	16.67	0	-16.67	1	0	FALSE
"peak_4373"	"MCF7_H3K27ac_peaks"	"LTBP3"	2	10	0	3	1	16.67	0	-16.67	1	0	FALSE
"peak_4377"	"MCF7_H3K27ac_peaks"	"AP000769.1"	0	2	1	0	0.333333333333333	0	100	100	1	0	FALSE
"peak_4377"	"MCF7_H3K27ac_peaks"	"SCYL1"	0	2	1	0	0.333333333333333	0	100	100	1	0	FALSE
"peak_4377"	"MCF7_H3K27ac_peaks"	"LTBP3"	0	2	1	0	0.333333333333333	0	100	100	1	0	FALSE
"peak_4384"	"MCF7_H3K27ac_peaks"	"RELA"	0	3	0	3	1	0	0	0	1	0	FALSE
"peak_4384"	"MCF7_H3K27ac_peaks"	"KAT5"	0	3	0	3	1	0	0	0	1	0	FALSE
"peak_4384"	"MCF7_H3K27ac_peaks"	"RNASEH2C"	0	3	0	3	1	0	0	0	1	0	FALSE
"peak_4390"	"MCF7_H3K27ac_peaks"	"AP5B1"	2	1	1	0	1	66.67	100	33.33	1	0	FALSE
"peak_4390"	"MCF7_H3K27ac_peaks"	"OVOL1"	2	1	1	0	1	66.67	100	33.33	1	0	FALSE
"peak_4390"	"MCF7_H3K27ac_peaks"	"CFL1"	2	1	1	0	1	66.67	100	33.33	1	0	FALSE
"peak_4390"	"MCF7_H3K27ac_peaks"	"SNX32"	2	1	1	0	1	66.67	100	33.33	1	0	FALSE
"peak_44091"	"MCF7_ER_peaks"	"CHCHD6"	11	0	2	0	1	100	100	0	1	0	FALSE
"peak_44091"	"MCF7_ER_peaks"	"PLXNA1"	11	0	2	0	1	100	100	0	1	0	FALSE
"peak_4421"	"MCF7_H3K27ac_peaks"	"CTSF"	3.08	40.92	1	0	0.0888888888888889	7	100	93	1	0	FALSE
"peak_4421"	"MCF7_H3K27ac_peaks"	"CCDC87"	3.08	40.92	1	0	0.0888888888888889	7	100	93	1	0	FALSE
"peak_4421"	"MCF7_H3K27ac_peaks"	"CCS"	3.08	40.92	1	0	0.0888888888888889	7	100	93	1	0	FALSE
"peak_4421"	"MCF7_H3K27ac_peaks"	"RBM14"	3.08	40.92	1	0	0.0888888888888889	7	100	93	1	0	FALSE
"peak_4421"	"MCF7_H3K27ac_peaks"	"RBM14-RBM4"	3.08	40.92	1	0	0.0888888888888889	7	100	93	1	0	FALSE
"peak_4421"	"MCF7_H3K27ac_peaks"	"RBM4"	3.08	40.92	1	0	0.0888888888888889	7	100	93	1	0	FALSE
"peak_4421"	"MCF7_H3K27ac_peaks"	"RBM4B"	3.08	40.92	1	0	0.0888888888888889	7	100	93	1	0	FALSE
"peak_4422"	"MCF7_H3K27ac_peaks"	"CCDC87"	0	8	0	5	1	0	0	0	1	0	FALSE
"peak_4422"	"MCF7_H3K27ac_peaks"	"CCS"	0	8	0	5	1	0	0	0	1	0	FALSE
"peak_4422"	"MCF7_H3K27ac_peaks"	"RBM14"	0	8	0	5	1	0	0	0	1	0	FALSE
"peak_4422"	"MCF7_H3K27ac_peaks"	"RBM14-RBM4"	0	8	0	5	1	0	0	0	1	0	FALSE
"peak_4422"	"MCF7_H3K27ac_peaks"	"RBM4"	0	8	0	5	1	0	0	0	1	0	FALSE
"peak_4422"	"MCF7_H3K27ac_peaks"	"RBM4B"	0	8	0	5	1	0	0	0	1	0	FALSE
"peak_4422"	"MCF7_H3K27ac_peaks"	"SPTBN2"	0	8	0	5	1	0	0	0	1	0	FALSE
"peak_4427"	"MCF7_H3K27ac_peaks"	"C11orf80"	2.92	15.08	2	0	0.0526315789473684	16.22	100	83.78	1	0	FALSE
"peak_4427"	"MCF7_H3K27ac_peaks"	"RCE1"	2.92	15.08	2	0	0.0526315789473684	16.22	100	83.78	1	0	FALSE
"peak_4427"	"MCF7_H3K27ac_peaks"	"PC"	2.92	15.08	2	0	0.0526315789473684	16.22	100	83.78	1	0	FALSE
"peak_4427"	"MCF7_H3K27ac_peaks"	"LRFN4"	2.92	15.08	2	0	0.0526315789473684	16.22	100	83.78	1	0	FALSE
"peak_4428"	"MCF7_H3K27ac_peaks"	"C11orf80"	0	10	0	4	1	0	0	0	1	0	FALSE
"peak_4428"	"MCF7_H3K27ac_peaks"	"RCE1"	0	10	0	4	1	0	0	0	1	0	FALSE
"peak_4428"	"MCF7_H3K27ac_peaks"	"PC"	0	10	0	4	1	0	0	0	1	0	FALSE
"peak_4428"	"MCF7_H3K27ac_peaks"	"LRFN4"	0	10	0	4	1	0	0	0	1	0	FALSE
"peak_44290"	"MCF7_ER_peaks"	"NEK11"	4	0	1	0	1	100	100	0	1	0	FALSE
"peak_4431"	"MCF7_H3K27ac_peaks"	"PC"	1	0	1	0	1	100	100	0	1	0	FALSE
"peak_4431"	"MCF7_H3K27ac_peaks"	"C11orf86"	1	0	1	0	1	100	100	0	1	0	FALSE
"peak_4431"	"MCF7_H3K27ac_peaks"	"SYT12"	1	0	1	0	1	100	100	0	1	0	FALSE
"peak_4435"	"MCF7_H3K27ac_peaks"	"SYT12"	1.99	2.01	1	0	1	49.75	100	50.25	1	0	FALSE
"peak_4435"	"MCF7_H3K27ac_peaks"	"RHOD"	1.99	2.01	1	0	1	49.75	100	50.25	1	0	FALSE
"peak_44357"	"MCF7_ER_peaks"	"EPHB1"	0	1	0	1	1	0	0	0	1	0	FALSE
"peak_4450"	"MCF7_H3K27ac_peaks"	"KDM2A"	12.01	0.99	2	0	1	92.38	100	7.62	1	0	FALSE
"peak_4450"	"MCF7_H3K27ac_peaks"	"AP001885.1"	12.01	0.99	2	0	1	92.38	100	7.62	1	0	FALSE
"peak_4450"	"MCF7_H3K27ac_peaks"	"ADRBK1"	12.01	0.99	2	0	1	92.38	100	7.62	1	0	FALSE
"peak_4450"	"MCF7_H3K27ac_peaks"	"ANKRD13D"	12.01	0.99	2	0	1	92.38	100	7.62	1	0	FALSE
"peak_4453"	"MCF7_H3K27ac_peaks"	"KDM2A"	4	0	3	0	1	100	100	0	1	0	FALSE
"peak_4453"	"MCF7_H3K27ac_peaks"	"ADRBK1"	4	0	3	0	1	100	100	0	1	0	FALSE
"peak_4453"	"MCF7_H3K27ac_peaks"	"ANKRD13D"	4	0	3	0	1	100	100	0	1	0	FALSE
"peak_4453"	"MCF7_H3K27ac_peaks"	"SSH3"	4	0	3	0	1	100	100	0	1	0	FALSE
"peak_4455"	"MCF7_H3K27ac_peaks"	"KDM2A"	2.99	6.01	0	1	1	33.22	0	-33.22	1	0	FALSE
"peak_4455"	"MCF7_H3K27ac_peaks"	"ADRBK1"	2.99	6.01	0	1	1	33.22	0	-33.22	1	0	FALSE
"peak_4455"	"MCF7_H3K27ac_peaks"	"ANKRD13D"	2.99	6.01	0	1	1	33.22	0	-33.22	1	0	FALSE
"peak_4455"	"MCF7_H3K27ac_peaks"	"SSH3"	2.99	6.01	0	1	1	33.22	0	-33.22	1	0	FALSE
"peak_4458"	"MCF7_H3K27ac_peaks"	"KDM2A"	1	3	0	3	1	25	0	-25	1	0	FALSE
"peak_4458"	"MCF7_H3K27ac_peaks"	"ADRBK1"	1	3	0	3	1	25	0	-25	1	0	FALSE
"peak_4458"	"MCF7_H3K27ac_peaks"	"ANKRD13D"	1	3	0	3	1	25	0	-25	1	0	FALSE
"peak_4458"	"MCF7_H3K27ac_peaks"	"SSH3"	1	3	0	3	1	25	0	-25	1	0	FALSE
